repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
codeql-action,post-release-mergeback.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/post-release-mergeback.yml,https://github.com/github/codeql-action
codeql-action,rollback-release.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/rollback-release.yml,https://github.com/github/codeql-action
codeql-action,update-release-branch.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/update-release-branch.yml,https://github.com/github/codeql-action
gh-gei,CI.yml,workflow,AWS_ACCESS_KEY_ID,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/CI.yml,https://github.com/github/gh-gei
gh-gei,integration-tests.yml,workflow,AWS_ACCESS_KEY_ID,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/integration-tests.yml,https://github.com/github/gh-gei
gh-gei,CI.yml,workflow,AWS_BUCKET_NAME,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/CI.yml,https://github.com/github/gh-gei
gh-gei,integration-tests.yml,workflow,AWS_BUCKET_NAME,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/integration-tests.yml,https://github.com/github/gh-gei
gh-gei,CI.yml,workflow,AWS_SECRET_ACCESS_KEY,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/CI.yml,https://github.com/github/gh-gei
gh-gei,integration-tests.yml,workflow,AWS_SECRET_ACCESS_KEY,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/integration-tests.yml,https://github.com/github/gh-gei
copilot-cli-for-beginners,co-op-translator.yml,workflow,AZURE_AI_SERVICE_API_KEY,secret,job,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/co-op-translator.yml,https://github.com/github/copilot-cli-for-beginners
copilot-cli-for-beginners,co-op-translator.yml,workflow,AZURE_AI_SERVICE_ENDPOINT,secret,job,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/co-op-translator.yml,https://github.com/github/copilot-cli-for-beginners
gh-aw-firewall,smoke-copilot-byok-aoai-entra.lock.yml,workflow,AZURE_CLIENT_ID,secret,workflow,public,0,0,0,https://github.com/github/gh-aw-firewall/blob/main/.github/workflows/smoke-copilot-byok-aoai-entra.lock.yml,https://github.com/github/gh-aw-firewall
gh-aw,mcp-inspector.lock.yml,workflow,AZURE_CLIENT_ID,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/mcp-inspector.lock.yml,https://github.com/github/gh-aw
safe-settings,deploy-k8s.yml,workflow,AZURE_CLIENT_ID,secret,step,public,0,0,0,https://github.com/github/safe-settings/blob/main-enterprise/.github/workflows/deploy-k8s.yml,https://github.com/github/safe-settings
vscode-codeql,release.yml,workflow,AZURE_CLIENT_ID,secret,step,public,0,0,0,https://github.com/github/vscode-codeql/blob/main/.github/workflows/release.yml,https://github.com/github/vscode-codeql
gh-aw,mcp-inspector.lock.yml,workflow,AZURE_CLIENT_SECRET,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/mcp-inspector.lock.yml,https://github.com/github/gh-aw
copilot-cli-for-beginners,co-op-translator.yml,workflow,AZURE_OPENAI_API_KEY,secret,job,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/co-op-translator.yml,https://github.com/github/copilot-cli-for-beginners
copilot-cli-for-beginners,co-op-translator.yml,workflow,AZURE_OPENAI_API_VERSION,secret,job,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/co-op-translator.yml,https://github.com/github/copilot-cli-for-beginners
